,Experiment,N/H/S,Gestures,Eye-contact_(lates_ time-value),Misty_stop,Participants_start,Silence_duration,Elapsed_time_eyecontact,Eyecontact_presence,Gestures_Eyecontact
1,3,n,n,67.0,68.1,70.0,1.9000000000000057,1.0999999999999943,y,ny
2,3,n,n,101.7,112.1,113.3,1.2000000000000028,10.399999999999991,y,ny
3,3,n,n,137.9,147.9,150.4,2.5,10.0,y,ny
4,3,n,n,170.7,193.8,195.1,1.299999999999983,23.100000000000023,y,ny
5,3,n,n,217.1,226.6,227.8,1.200000000000017,9.5,y,ny
6,3,h,y,62.8,75.3,77.0,1.7000000000000028,12.5,y,yy
7,3,h,y,121.1,133.4,134.2,0.799999999999983,12.300000000000011,y,yy
8,3,h,y,5000.0,198.4,200.9,2.5,5000.0,n,yn
9,3,h,y,231.1,238.1,240.1,2.0,7.0,y,yy
10,3,s,n,131.8,136.0,137.4,1.4000000000000057,4.199999999999989,y,ny
11,3,s,n,5000.0,148.4,150.3,1.9000000000000057,5000.0,n,nn
12,3,s,n,253.8,254.6,254.9,0.30000000000001137,0.799999999999983,y,ny
13,3,s,n,285.1,286.6,290.4,3.7999999999999545,1.5,y,ny
14,3,s,n,5000.0,321.4,324.5,3.1000000000000227,5000.0,n,nn
15,3,s,n,5000.0,349.5,351.1,1.6000000000000227,5000.0,n,nn
16,3,s,n,5000.0,392.5,394.6,2.1000000000000227,5000.0,n,nn
17,3,s,n,435.2,440.8,441.4,0.5999999999999659,5.600000000000023,y,ny
18,4,n,n,66.4,70.5,71.5,1.0,4.099999999999994,y,ny
19,4,n,n,125.4,132.7,134.9,2.200000000000017,7.299999999999983,y,ny
20,4,n,n,163.6,175.1,176.4,1.3000000000000114,11.5,y,ny
21,4,n,n,270.0,210.8,212.6,1.799999999999983,-59.19999999999999,y,ny
22,4,n,n,246.5,247.4,248.7,1.299999999999983,0.9000000000000057,y,ny
23,4,n,n,260.7,260.8,262.8,2.0,0.10000000000002274,y,ny
24,4,h,n,33.2,41.8,43.2,1.4000000000000057,8.599999999999994,y,ny
25,4,h,n,63.0,71.2,72.0,0.7999999999999972,8.200000000000003,y,ny
26,4,h,n,122.1,136.2,137.6,1.4000000000000057,14.099999999999994,y,ny
27,4,h,n,212.3,222.3,224.6,2.299999999999983,10.0,y,ny
28,4,s,y,128.5,142.0,142.5,0.5,13.5,y,yy
29,4,s,y,201.0,216.0,217.4,1.4000000000000057,15.0,y,yy
30,4,s,y,238.5,250.3,251.6,1.299999999999983,11.800000000000011,y,yy
31,4,s,y,290.4,298.8,299.2,0.39999999999997726,8.400000000000034,y,yy
32,5,n,n,132.0,144.7,145.2,0.5,12.699999999999989,y,ny
34,5,n,n,326.3,338.2,340.6,2.400000000000034,11.899999999999977,y,ny
35,5,n,n,434.9,439.5,441.1,1.6000000000000227,4.600000000000023,y,ny
36,5,h,y,97.2,97.5,98.8,1.2999999999999972,0.29999999999999716,y,yy
37,5,h,y,192.8,199.1,201.8,2.700000000000017,6.299999999999983,y,yy
38,5,h,y,266.1,273.4,274.0,0.6000000000000227,7.2999999999999545,y,yy
40,5,h,y,5000.0,426.3,427.9,1.599999999999966,5000.0,n,yn
41,5,s,n,131.0,138.6,140.1,1.5,7.599999999999994,y,ny
42,5,s,n,231.5,239.1,240.2,1.0999999999999943,7.599999999999994,y,ny
43,5,s,n,323.9,337.2,340.2,3.0,13.300000000000011,y,ny
44,5,s,n,381.3,388.4,389.5,1.1000000000000227,7.099999999999966,y,ny
45,6,n,n,45.8,63.2,64.4,1.2000000000000028,17.400000000000006,y,ny
46,6,n,n,5000.0,134.3,135.6,1.299999999999983,5000.0,n,nn
47,6,n,n,216.8,232.1,233.5,1.4000000000000057,15.299999999999983,y,ny
49,6,h,n,5000.0,15.7,16.3,0.6000000000000014,5000.0,n,nn
50,6,h,n,5000.0,115.1,115.9,0.8000000000000114,5000.0,n,nn
51,6,h,n,132.9,147.6,149.2,1.5999999999999943,14.699999999999989,y,ny
52,6,h,n,5000.0,207.9,210.6,2.6999999999999886,5000.0,n,nn
53,6,h,n,275.8,286.8,287.2,0.39999999999997726,11.0,y,ny
54,6,s,y,5000.0,137.5,138.2,0.6999999999999886,5000.0,n,yn
55,6,s,y,167.4,188.8,189.6,0.799999999999983,21.400000000000006,y,yy
56,6,s,y,209.3,215.9,217.0,1.0999999999999943,6.599999999999994,y,yy
57,7,n,n,153.0,160.4,162.0,1.5999999999999943,7.400000000000006,y,ny
58,7,n,n,5000.0,227.2,229.4,2.200000000000017,5000.0,n,nn
59,7,n,n,5000.0,285.0,286.2,1.1999999999999886,5000.0,n,nn
60,7,n,n,5000.0,335.0,337.9,2.8999999999999773,5000.0,n,nn
61,7,n,n,5000.0,367.7,370.0,2.3000000000000114,5000.0,n,nn
62,7,h,y,5000.0,208.6,210.6,2.0,5000.0,n,yn
64,7,h,y,5000.0,346.3,349.1,2.8000000000000114,5000.0,n,yn
66,7,s,n,5000.0,157.8,160.7,2.8999999999999773,5000.0,n,nn
67,7,s,n,5000.0,200.6,203.4,2.8000000000000114,5000.0,n,nn
68,7,s,n,5000.0,230.1,233.7,3.5999999999999943,5000.0,n,nn
69,7,s,n,5000.0,327.1,329.9,2.7999999999999545,5000.0,n,nn
70,7,s,n,5000.0,348.4,351.8,3.400000000000034,5000.0,n,nn
71,8,n,n,115.8,129.4,131.1,1.6999999999999886,13.600000000000009,y,ny
72,8,n,n,153.4,163.5,164.2,0.6999999999999886,10.099999999999994,y,ny
73,8,n,n,226.9,237.2,239.4,2.200000000000017,10.299999999999983,y,ny
74,8,n,n,322.7,329.8,331.2,1.3999999999999773,7.100000000000023,y,ny
75,8,h,n,5000.0,134.2,136.7,2.5,5000.0,n,nn
76,8,h,n,5000.0,198.6,199.2,0.5999999999999943,5000.0,n,nn
77,8,h,n,5000.0,281.4,283.3,1.900000000000034,5000.0,n,nn
78,8,h,n,326.9,334.9,335.5,0.6000000000000227,8.0,y,ny
79,8,s,y,27.9,34.7,35.2,0.5,6.800000000000004,y,yy
80,8,s,y,62.1,62.1,63.9,1.7999999999999972,0.0,y,yy
81,8,s,y,135.2,154.2,154.8,0.6000000000000227,19.0,y,yy
82,8,s,y,173.1,188.2,188.6,0.4000000000000057,15.099999999999994,y,yy
83,8,s,y,5000.0,232.5,233.7,1.1999999999999886,5000.0,n,yn
84,9,h,y,49.8,56.9,57.6,0.7000000000000028,7.100000000000001,y,yy
85,9,h,y,5000.0,111.9,112.4,0.5,5000.0,n,yn
86,9,h,y,154.6,168.4,168.6,0.19999999999998863,13.800000000000011,y,yy
87,9,h,y,196.0,199.4,200.5,1.0999999999999943,3.4000000000000057,y,yy
88,9,s,n,84.2,86.9,88.8,1.8999999999999915,2.700000000000003,y,ny
89,9,s,n,98.6,113.6,114.0,0.4000000000000057,15.0,y,ny
90,10,n,n,5000.0,36.9,38.8,1.8999999999999986,5000.0,n,nn
91,10,n,n,5000.0,76.4,77.8,1.3999999999999915,5000.0,n,nn
92,10,n,n,5000.0,136.5,137.8,1.3000000000000114,5000.0,n,nn
93,10,n,n,153.7,160.8,162.2,1.3999999999999773,7.100000000000023,y,ny
94,10,h,n,5000.0,91.2,93.4,2.200000000000003,5000.0,n,nn
95,10,h,n,5000.0,165.3,167.2,1.8999999999999773,5000.0,n,nn
96,10,h,n,5000.0,205.8,206.7,0.8999999999999773,5000.0,n,nn
97,10,h,n,5000.0,256.3,259.3,3.0,5000.0,n,nn
98,10,s,y,5000.0,132.5,132.8,0.30000000000001137,5000.0,n,yn
99,10,s,y,5000.0,200.8,202.5,1.6999999999999886,5000.0,n,yn
100,10,s,y,260.8,273.6,274.3,0.6999999999999886,12.800000000000011,y,yy
101,10,s,y,338.4,339.8,340.1,0.30000000000001137,1.400000000000034,y,yy
102,10,s,y,5000.0,435.9,438.9,3.0,5000.0,n,yn
103,11,n,n,5000.0,118.4,120.1,1.6999999999999886,5000.0,n,nn
104,11,n,n,5000.0,156.6,157.7,1.0999999999999943,5000.0,n,nn
105,11,n,n,5000.0,249.0,252.5,3.5,5000.0,n,nn
106,11,n,n,5000.0,325.5,328.3,2.8000000000000114,5000.0,n,nn
107,11,n,n,5000.0,404.2,406.4,2.1999999999999886,5000.0,n,nn
108,11,h,y,149.9,163.7,165.7,2.0,13.799999999999983,y,yy
109,11,h,y,237.5,247.1,250.7,3.5999999999999943,9.599999999999994,y,yy
110,11,h,y,458.2,472.3,473.8,1.5,14.100000000000023,y,yy
111,11,h,y,524.7,529.3,530.4,1.1000000000000227,4.599999999999909,y,yy
112,11,s,n,5000.0,134.6,137.7,3.0999999999999943,5000.0,n,nn
113,11,s,n,5000.0,194.7,195.6,0.9000000000000057,5000.0,n,nn
114,11,s,n,5000.0,244.2,246.4,2.200000000000017,5000.0,n,nn
115,11,s,n,5000.0,296.9,298.8,1.900000000000034,5000.0,n,nn
116,12,n,n,5000.0,85.3,88.0,2.700000000000003,5000.0,n,nn
117,12,n,n,5000.0,144.0,145.7,1.6999999999999886,5000.0,n,nn
118,12,n,n,5000.0,161.3,165.2,3.8999999999999773,5000.0,n,nn
119,12,n,n,5000.0,189.1,192.0,2.9000000000000057,5000.0,n,nn
120,12,n,n,5000.0,212.7,214.4,1.700000000000017,5000.0,n,nn
121,12,h,n,5000.0,98.5,100.0,1.5,5000.0,n,nn
122,12,h,n,5000.0,171.1,173.0,1.9000000000000057,5000.0,n,nn
123,12,h,n,232.9,233.3,233.5,0.19999999999998863,0.4000000000000057,y,ny
124,12,h,n,5000.0,350.2,350.8,0.6000000000000227,5000.0,n,nn
125,12,s,y,5000.0,54.0,54.9,0.8999999999999986,5000.0,n,yn
126,12,s,y,5000.0,104.4,106.0,1.5999999999999943,5000.0,n,yn
127,12,s,y,208.0,222.9,224.0,1.0999999999999943,14.900000000000006,y,yy
128,12,s,y,250.9,251.3,254.9,3.5999999999999943,0.4000000000000057,y,yy
129,12,s,y,276.3,276.9,277.4,0.5,0.5999999999999659,y,yy
130,13,h,y,5000.0,109.0,111.7,2.700000000000003,5000.0,n,yn
131,13,h,y,5000.0,128.9,129.7,0.799999999999983,5000.0,n,yn
132,13,h,y,5000.0,157.0,157.8,0.8000000000000114,5000.0,n,yn
133,13,h,y,5000.0,214.2,214.6,0.4000000000000057,5000.0,n,yn
134,13,h,y,5000.0,305.0,306.0,1.0,5000.0,n,yn
136,13,s,n,5000.0,113.7,114.3,0.5999999999999943,5000.0,n,nn
137,13,s,n,5000.0,179.7,180.3,0.6000000000000227,5000.0,n,nn
138,13,s,n,5000.0,257.1,257.9,0.7999999999999545,5000.0,n,nn
139,13,s,n,5000.0,292.0,292.8,0.8000000000000114,5000.0,n,nn
140,13,s,n,5000.0,317.1,318.6,1.5,5000.0,n,nn
