,Experiment,N/H/S,Gestures,Eye-contact_(lates_ time-value),Misty_stop,Participants_start,Silence_duration,Elapsed_time_eyecontact,Eyecontact_presence
1,3,n,n,67.0,68.1,70.0,1.9000000000000057,1.0999999999999943,y
2,3,n,n,101.7,112.1,113.3,1.2000000000000028,10.399999999999991,y
3,3,n,n,137.9,147.9,150.4,2.5,10.0,y
4,3,n,n,170.7,193.8,195.1,1.299999999999983,23.100000000000023,y
5,3,n,n,217.1,226.6,227.8,1.200000000000017,9.5,y
6,3,h,y,62.8,75.3,77.0,1.7000000000000028,12.5,y
7,3,h,y,121.1,133.4,134.2,0.799999999999983,12.300000000000011,y
9,3,h,y,231.1,238.1,240.1,2.0,7.0,y
10,3,s,n,131.8,136.0,137.4,1.4000000000000057,4.199999999999989,y
12,3,s,n,253.8,254.6,254.9,0.30000000000001137,0.799999999999983,y
13,3,s,n,285.1,286.6,290.4,3.7999999999999545,1.5,y
17,3,s,n,435.2,440.8,441.4,0.5999999999999659,5.600000000000023,y
18,4,n,n,66.4,70.5,71.5,1.0,4.099999999999994,y
19,4,n,n,125.4,132.7,134.9,2.200000000000017,7.299999999999983,y
20,4,n,n,163.6,175.1,176.4,1.3000000000000114,11.5,y
22,4,n,n,246.5,247.4,248.7,1.299999999999983,0.9000000000000057,y
23,4,n,n,260.7,260.8,262.8,2.0,0.10000000000002274,y
24,4,h,n,33.2,41.8,43.2,1.4000000000000057,8.599999999999994,y
25,4,h,n,63.0,71.2,72.0,0.7999999999999972,8.200000000000003,y
26,4,h,n,122.1,136.2,137.6,1.4000000000000057,14.099999999999994,y
27,4,h,n,212.3,222.3,224.6,2.299999999999983,10.0,y
28,4,s,y,128.5,142.0,142.5,0.5,13.5,y
29,4,s,y,201.0,216.0,217.4,1.4000000000000057,15.0,y
30,4,s,y,238.5,250.3,251.6,1.299999999999983,11.800000000000011,y
31,4,s,y,290.4,298.8,299.2,0.39999999999997726,8.400000000000034,y
32,5,n,n,132.0,144.7,145.2,0.5,12.699999999999989,y
34,5,n,n,326.3,338.2,340.6,2.400000000000034,11.899999999999977,y
35,5,n,n,434.9,439.5,441.1,1.6000000000000227,4.600000000000023,y
36,5,h,y,97.2,97.5,98.8,1.2999999999999972,0.29999999999999716,y
37,5,h,y,192.8,199.1,201.8,2.700000000000017,6.299999999999983,y
38,5,h,y,266.1,273.4,274.0,0.6000000000000227,7.2999999999999545,y
41,5,s,n,131.0,138.6,140.1,1.5,7.599999999999994,y
42,5,s,n,231.5,239.1,240.2,1.0999999999999943,7.599999999999994,y
43,5,s,n,323.9,337.2,340.2,3.0,13.300000000000011,y
44,5,s,n,381.3,388.4,389.5,1.1000000000000227,7.099999999999966,y
45,6,n,n,45.8,63.2,64.4,1.2000000000000028,17.400000000000006,y
47,6,n,n,216.8,232.1,233.5,1.4000000000000057,15.299999999999983,y
51,6,h,n,132.9,147.6,149.2,1.5999999999999943,14.699999999999989,y
53,6,h,n,275.8,286.8,287.2,0.39999999999997726,11.0,y
55,6,s,y,167.4,188.8,189.6,0.799999999999983,21.400000000000006,y
56,6,s,y,209.3,215.9,217.0,1.0999999999999943,6.599999999999994,y
57,7,n,n,153.0,160.4,162.0,1.5999999999999943,7.400000000000006,y
71,8,n,n,115.8,129.4,131.1,1.6999999999999886,13.600000000000009,y
72,8,n,n,153.4,163.5,164.2,0.6999999999999886,10.099999999999994,y
73,8,n,n,226.9,237.2,239.4,2.200000000000017,10.299999999999983,y
74,8,n,n,322.7,329.8,331.2,1.3999999999999773,7.100000000000023,y
78,8,h,n,326.9,334.9,335.5,0.6000000000000227,8.0,y
79,8,s,y,27.9,34.7,35.2,0.5,6.800000000000004,y
80,8,s,y,62.1,62.1,63.9,1.7999999999999972,0.0,y
81,8,s,y,135.2,154.2,154.8,0.6000000000000227,19.0,y
82,8,s,y,173.1,188.2,188.6,0.4000000000000057,15.099999999999994,y
84,9,h,y,49.8,56.9,57.6,0.7000000000000028,7.100000000000001,y
86,9,h,y,154.6,168.4,168.6,0.19999999999998863,13.800000000000011,y
87,9,h,y,196.0,199.4,200.5,1.0999999999999943,3.4000000000000057,y
88,9,s,n,84.2,86.9,88.8,1.8999999999999915,2.700000000000003,y
89,9,s,n,98.6,113.6,114.0,0.4000000000000057,15.0,y
93,10,n,n,153.7,160.8,162.2,1.3999999999999773,7.100000000000023,y
100,10,s,y,260.8,273.6,274.3,0.6999999999999886,12.800000000000011,y
101,10,s,y,338.4,339.8,340.1,0.30000000000001137,1.400000000000034,y
108,11,h,y,149.9,163.7,165.7,2.0,13.799999999999983,y
109,11,h,y,237.5,247.1,250.7,3.5999999999999943,9.599999999999994,y
110,11,h,y,458.2,472.3,473.8,1.5,14.100000000000023,y
111,11,h,y,524.7,529.3,530.4,1.1000000000000227,4.599999999999909,y
123,12,h,n,232.9,233.3,233.5,0.19999999999998863,0.4000000000000057,y
127,12,s,y,208.0,222.9,224.0,1.0999999999999943,14.900000000000006,y
128,12,s,y,250.9,251.3,254.9,3.5999999999999943,0.4000000000000057,y
129,12,s,y,276.3,276.9,277.4,0.5,0.5999999999999659,y
