Experiment,N/H/S,Gestures,Eye-contact_(lates_ time-value),Misty_stop,Participants_start
3,n,n,67,68.1,70
3,n,n,101.7,112.1,113.3
3,n,n,137.9,147.9,150.4
3,n,n,170.7,193.8,195.1
3,n,n,217.1,226.6,227.8
3,h,y,62.8,75.3,77
3,h,y,121.1,133.4,134.2
3,h,y,,198.4,200.9
3,h,y,231.1,238.1,240.1
3,s,n,131.8,136,137.4
3,s,n,,148.4,150.3
3,s,n,253.8,254.6,254.9
3,s,n,285.1,286.6,290.4
3,s,n,,321.4,324.5
3,s,n,,349.5,351.1
3,s,n,,392.5,394.6
3,s,n,435.2,440.8,441.4
4,n,n,66.4,70.5,71.5
4,n,n,125.4,132.7,134.9
4,n,n,163.6,175.1,176.4
4,n,n,270,210.8,212.6
4,n,n,246.5,247.4,248.7
4,n,n,260.7,260.8,262.8
4,h,n,33.2,41.8,43.2
4,h,n,63,71.2,72
4,h,n,122.1,136.2,137.6
4,h,n,212.3,222.3,224.6
4,s,y,128.5,142,142.5
4,s,y,201,216,217.4
4,s,y,238.5,250.3,251.6
4,s,y,290.4,298.8,299.2
5,n,n,132,144.7,145.2
5,n,n,229.2,241.1,247
5,n,n,326.3,338.2,340.6
5,n,n,434.9,439.5,441.1
5,h,y,97.2,97.5,98.8
5,h,y,192.8,199.1,201.8
5,h,y,266.1,273.4,274
5,h,y,371.4,385.4,389.6
5,h,y,,426.3,427.9
5,s,n,131,138.6,140.1
5,s,n,231.5,239.1,240.2
5,s,n,323.9,337.2,340.2
5,s,n,381.3,388.4,389.5
6,n,n,45.8,63.2,64.4
6,n,n,,134.3,135.6
6,n,n,216.8,232.1,233.5
6,n,n,,236.3,262.7
6,h,n,,15.7,16.3
6,h,n,,115.1,115.9
6,h,n,132.9,147.6,149.2
6,h,n,,207.9,210.6
6,h,n,275.8,286.8,287.2
6,s,y,,137.5,138.2
6,s,y,167.4,188.8,189.6
6,s,y,209.3,215.9,217
7,n,n,153,160.4,162
7,n,n,,227.2,229.4
7,n,n,,285,286.2
7,n,n,,335,337.9
7,n,n,,367.7,370
7,h,y,,208.6,210.6
7,h,y,,293.4,298.8
7,h,y,,346.3,349.1
7,s,n,,78.1,82.1
7,s,n,,157.8,160.7
7,s,n,,200.6,203.4
7,s,n,,230.1,233.7
7,s,n,,327.1,329.9
7,s,n,,348.4,351.8
8,n,n,115.8,129.4,131.1
8,n,n,153.4,163.5,164.2
8,n,n,226.9,237.2,239.4
8,n,n,322.7,329.8,331.2
8,h,n,,134.2,136.7
8,h,n,,198.6,199.2
8,h,n,,281.4,283.3
8,h,n,326.9,334.9,335.5
8,s,y,27.9,34.7,35.2
8,s,y,62.1,62.1,63.9
8,s,y,135.2,154.2,154.8
8,s,y,173.1,188.2,188.6
8,s,y,,232.5,233.7
9,h,y,49.8,56.9,57.6
9,h,y,,111.9,112.4
9,h,y,154.6,168.4,168.6
9,h,y,196,199.4,200.5
9,s,n,84.2,86.9,88.8
9,s,n,98.6,113.6,114
10,n,n,,36.9,38.8
10,n,n,,76.4,77.8
10,n,n,,136.5,137.8
10,n,n,153.7,160.8,162.2
10,h,n,,91.2,93.4
10,h,n,,165.3,167.2
10,h,n,,205.8,206.7
10,h,n,,256.3,259.3
10,s,y,,132.5,132.8
10,s,y,,200.8,202.5
10,s,y,260.8,273.6,274.3
10,s,y,338.4,339.8,340.1
10,s,y,,435.9,438.9
11,n,n,,118.4,120.1
11,n,n,,156.6,157.7
11,n,n,,249,252.5
11,n,n,,325.5,328.3
11,n,n,,404.2,406.4
11,h,y,149.9,163.7,165.7
11,h,y,237.5,247.1,250.7
11,h,y,458.2,472.3,473.8
11,h,y,524.7,529.3,530.4
11,s,n,,134.6,137.7
11,s,n,,194.7,195.6
11,s,n,,244.2,246.4
11,s,n,,296.9,298.8
12,n,n,,85.3,88
12,n,n,,144,145.7
12,n,n,,161.3,165.2
12,n,n,,189.1,192
12,n,n,,212.7,214.4
12,h,n,,98.5,100
12,h,n,,171.1,173
12,h,n,232.9,233.3,233.5
12,h,n,,350.2,350.8
12,s,y,,54,54.9
12,s,y,,104.4,106
12,s,y,208,222.9,224
12,s,y,250.9,251.3,254.9
12,s,y,276.3,276.9,277.4
13,h,y,,109,111.7
13,h,y,,128.9,129.7
13,h,y,,157,157.8
13,h,y,,214.2,214.6
13,h,y,,305,306
13,h,y,,339.6,400.5
13,s,n,,113.7,114.3
13,s,n,,179.7,180.3
13,s,n,,257.1,257.9
13,s,n,,292,292.8
13,s,n,,317.1,318.6
